Linha	Total	Média dos dias úteis	Média dos Sábados	Média dos Domingos	Máxima Diária	Mês
5	7220,0	309,0	176,0	85,0	322,0	2018-08
5	7632,0	323,0	182,0	93,0	345,0	2018-09
5	10897,0	424,0	227,0	131,0	502,0	2018-10
5	11833,0	505,0	268,0	156,0	552,0	2018-11
5	12053,0	478,0	301,0	178,0	559,0	2018-12
5	11482,0	456,0	251,0	150,0	502,0	2019-01
5	12515,0	535,0	293,0	163,0	565,0	2019-02
5	13332,0	555,0	297,0	167,0	585,0	2019-03
5	14285,0	582,0	304,0	166,0	607,0	2019-04
5	14857,0	584,0	309,0	143,0	606,0	2019-05
5	12703,0	543,0	300,0	164,0	583,0	2019-06
5	13410,0	523,0	295,0	163,0	546,0	2019-07
5	15084,0	586,0	312,0	159,0	600,0	2019-08
5	14755,0	601,0	312,0	177,0	629,0	2019-09
5	16098,0	610,0	325,0	190,0	625,0	2019-10
5	14569,0	622,0	316,0	182,0	644,0	2019-11
5	14031,0	548,0	217,0	119,0	649,0	2019-12
5	13660,0	535,0	279,0	167,0	580,0	2020-01
5	13806,0	587,0	330,0	196,0	650,0	2020-02
5	10674,0	419,0	208,0	126,0	652,0	2020-03
5	3695,0	150,0	89,0	51,0	166,0	2020-04
5	4008,0	167,0	99,0	56,0	175,0	2020-05
5	5139,0	200,0	121,0	65,0	221,0	2020-06
5	6544,0	244,0	156,0	78,0	264,0	2020-07
5	7100,0	277,0	172,0	85,0	299,0	2020-08
5	7728,0	306,0	196,0	98,0	323,0	2020-09
5	8614,0	334,0	208,0	105,0	348,0	2020-10
5	8669,0	346,0	233,0	116,0	372,0	2020-11
5	8844,0	337,0	222,0	118,0	385,0	2020-12
5	8033,0	336,0	183,0	104,0	360,0	2021-01
5	8374,0	356,0	214,0	112,0	370,0	2021-02
5	7430,0	299,0	153,0	77,0	377,0	2021-03
5	6913,0	289,0	160,0	84,0	327,0	2021-04
5	8408,0	328,0	200,0	105,0	349,0	2021-05
5	8844,0	341,0	222,0	114,0	359,0	2021-06
5	9147,0	351,0	221,0	118,0	374,0	2021-07
5	10004,0	384,0	235,0	124,0	400,0	2021-08
5	10097,0	399,0	251,0	137,0	412,0	2021-09
5	10470,44	416,75	263,12	130,84	440,64	2021-10
5	10990,58	442,99	285,38	160,61	459,23	2021-11
5	11037,81	405,61	261,28	165,94	479,79	2021-12
5	9286,51	364,58	202,18	123,9	397,23	2022-01
5	10180,0	426,0	270,0	145,0	450,0	2022-02
5	12297,0	469,0	288,0	151,0	500,0	2022-03
5	11533,0	482,0	276,0	155,0	500,0	2022-04
5	12740,79	488,3	299,87	159,75	507,22	2022-05
5	12099,73	479,0	283,96	155,88	541,79	2022-06
5	12042,05	466,2	285,91	164,46	484,27	2022-07
5	13310,68	500,75	292,18	156,23	519,06	2022-08
5	12606,29	505,5	298,03	153,91	517,4	2022-09
5	12854,25	512,52	301,32	176,27	533,04	2022-10
5	12404,96	503,71	314,49	169,51	538,67	2022-11
5	11837,35	448,87	264,37	160,11	550,56	2022-12
5	10976,23	427,2	271,01	139,44	468,66	2023-01
5	11015,86	473,46	289,52	161,31	516,8	2023-02
5	13455,77	503,11	305,23	165,84	535,97	2023-03
5	11792,22	510,81	282,42	160,71	527,25	2023-04
5	13585,83	523,85	306,5	163,4	538,54	2023-05
5	12799,07	510,29	301,74	163,03	557,02	2023-06
5	12639,51	493,35	295,21	160,64	520,63	2023-07
5	14463,52	546,24	308,58	166,45	571,95	2023-08
5	13751,53	557,28	324,04	185,04	581,58	2023-09
5	13727,47	546,39	310,87	162,55	593,43	2023-10
5	13366,04	560,53	319,49	192,85	607,23	2023-11
15	349,0	15,0	6,0	2,0	17,0	2017-01
15	355,0	17,0	7,0	2,0	22,0	2017-02
15	404,0	17,0	7,0	2,0	19,0	2017-03
15	355,0	18,0	6,0	2,0	23,0	2017-04
15	467,0	19,0	7,0	2,0	20,0	2017-05
15	440,0	19,0	7,0	2,0	20,0	2017-06
15	411,0	17,0	7,0	2,0	18,0	2017-07
15	471,0	19,0	7,0	2,0	20,0	2017-08
15	439,0	20,0	7,0	2,0	20,0	2017-09
15	459,0	20,0	7,0	2,0	21,0	2017-10
15	462,0	22,0	8,0	2,0	24,0	2017-11
15	438,0	20,0	8,0	3,0	23,0	2017-12
15	379,0	17,0	6,0	3,0	19,0	2018-01
15	368,0	20,0	10,0		22,0	2018-02
15	411,0	20,0	5,0		23,0	2018-03
15	441,0	21,0	8,0	3,0	24,0	2018-04
15	509,0	22,0	7,0	4,0	24,0	2018-05
15	464,0	22,0	3,0	3,0	23,0	2018-06
15	427,0	20,0	3,0	1,0	21,0	2018-07
15	516,0	22,0		2,0	23,0	2018-08
15	445,0	23,0	3,0	2,0	23,0	2018-09
15	498,0	22,0		4,0	25,0	2018-10
15	398,0	23,0	6,0	4,0	25,0	2018-11
15	710,0	32,0	14,0	9,0	37,0	2018-12
15	903,0	37,0	17,0	11,0	46,0	2019-01
15	1086,0	48,0	21,0	9,0	54,0	2019-02
15	1374,0	61,0	25,0	14,0	72,0	2019-03
15	1532,0	64,0	27,0	14,0	66,0	2019-04
15	1808,0	73,0	31,0	18,0	77,0	2019-05
15	1644,0	77,0	33,0	20,0	79,0	2019-06
15	1778,0	72,0	25,0	20,0	76,0	2019-07
15	2029,0	82,0	30,0	20,0	88,0	2019-08
15	2171,0	90,0	38,0	25,0	93,0	2019-09
15	2420,0	93,0	47,0	24,0	95,0	2019-10
15	2030,0	94,0	23,0	24,0	96,0	2019-11
15	1953,0	87,0	29,0	17,0	96,0	2019-12
15	2419,0	98,0	35,0	21,0	111,0	2020-01
15	2497,0	116,0	60,0	27,0	122,0	2020-02
15	0,0	0,0	0,0	0,0	0,0	2020-03
15	0,0	0,0	0,0	0,0	0,0	2020-04
15	0,0	0,0	0,0	0,0	0,0	2020-05
15	663,0	27,0	15,0	9,0	39,0	2020-06
15	1161,0	44,0	26,0	13,0	49,0	2020-07
15	1333,0	52,0	32,0	16,0	57,0	2020-08
15	1513,0	60,0	38,0	20,0	63,0	2020-09
15	1650,0	64,0	39,0	21,0	68,0	2020-10
15	1631,0	66,0	42,0	24,0	70,0	2020-11
15	1692,0	68,0	42,0	23,0	73,0	2020-12
15	1571,0	66,0	34,0	21,0	70,0	2021-01
15	1575,0	68,0	39,0	21,0	72,0	2021-02
15	1457,0	58,0	30,0	16,0	69,0	2021-03
15	1355,0	57,0	31,0	17,0	63,0	2021-04
15	1566,0	64,0	39,0	21,0	66,0	2021-05
15	1670,0	65,0	42,0	23,0	67,0	2021-06
15	1794,0	73,0	33,0	18,0	76,0	2021-07
15	2018,0	80,0	40,0	20,0	83,0	2021-08
15	2090,0	85,0	49,0	23,0	89,0	2021-09
15	2066,0	88,0	41,0	18,0	94,0	2021-10
15	2261,0	95,0	54,0	31,0	99,0	2021-11
15	2203,0	86,0	61,0	27,0	100,0	2021-12
15	1962,0	79,0	47,0	25,0	86,0	2022-01
15	2198,0	94,0	56,0	31,0	102,0	2022-02
15	2678,0	104,0	59,0	32,0	109,0	2022-03
15	2544,0	109,0	58,0	34,0	114,0	2022-04
15	2814,0	109,0	63,0	35,0	111,0	2022-05
15	2669,0	108,0	59,0	34,0	115,0	2022-06
15	2576,0	104,0	46,0	29,0	108,0	2022-07
15	2824,0	110,0	60,0	28,0	117,0	2022-08
